Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,1.0,0.0,0.0,1090.0,18.0,80.0,2237.0,0.1,73.00600000000003,0.0,0.0,343.4289507865906,,,,,,,,,,,,,,,,,,,,,33.85151293813705,22.002032179268834,70.43868589805926,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1138.0,19.0,48.0,2285.0,0.1,41.005999999999986,0.0,0.0,348.3812313079834,,,,,,,,,,,,,,,,,,,,,18.542676208248384,13.098273060631076,40.196303953607334,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1184.0,20.0,46.0,2331.0,0.1,38.006999999999984,0.0,0.0,353.3389813899994,,,,,,,,,,,,,,,,,,,,,16.728380150385593,12.357595371241372,37.31208136372836,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,38.0,1.0,38.0,2369.0,0.1,29.00800000000001,0.0,0.0,494.97388911247253,,,,,,,,,,,,,,,,,,,,,12.100202689613871,9.782154538069728,28.605374441302846,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,111.0,2.0,73.0,2442.0,0.1,60.01199999999997,0.0,0.0,502.27575516700745,,,,,,,,,,,,,,,,,,,,,25.390616633558935,19.228659758968114,58.27497666410173,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,227.0,3.0,116.0,2558.0,0.1,107.00800000000004,0.0,0.0,513.8453838825226,,,,,,,,,,,,,,,,,,,,,48.97729330299044,31.458415065100457,101.52959163052259,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,362.0,4.0,135.0,2693.0,0.1,124.01000000000005,0.0,0.0,526.7165267467499,,,,,,,,,,,,,,,,,,,,,55.996249749501075,36.26126985679234,116.68375711428888,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,408.0,5.0,46.0,2739.0,0.1,37.00799999999998,0.0,0.0,531.4946782588959,,,,,,,,,,,,,,,,,,,,,15.897297775077153,12.167600728131875,36.349386726412554,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,453.0,6.0,45.0,2784.0,0.1,35.00899999999998,0.0,0.0,536.3344693183899,,,,,,,,,,,,,,,,,,,,,14.614606613992645,11.657918205552123,34.420148579380516,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,537.0,7.0,84.0,2868.0,0.1,75.00800000000004,0.0,0.0,544.6907858848572,,,,,,,,,,,,,,,,,,,,,33.9738427447489,22.897870160495163,72.2987223554296,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,602.0,8.0,65.0,2933.0,0.1,58.005999999999986,0.0,0.0,551.5296542644501,,,,,,,,,,,,,,,,,,,,,26.701937120279794,17.884139162211397,56.38308387184163,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,628.0,9.0,26.0,2959.0,0.1,19.006000000000007,0.0,0.0,554.6018829345703,,,,,,,,,,,,,,,,,,,,,7.992899277307997,6.5981031847989895,18.835837457868273,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,665.0,10.0,37.0,2996.0,0.1,27.00900000000001,0.0,0.0,558.5193421840668,,,,,,,,,,,,,,,,,,,,,10.855727037879763,9.2287623059141,26.660632704374503,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,821.0,11.0,156.0,3152.0,0.1,147.00800000000004,0.0,0.0,573.3163325786591,,,,,,,,,,,,,,,,,,,,,67.33986926576472,41.70985148571103,136.77639641096627,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,856.0,12.0,35.0,3187.0,0.1,26.00800000000001,0.0,0.0,577.382604598999,,,,,,,,,,,,,,,,,,,,,10.685501464240314,8.868737436768068,25.6853524683358,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,905.0,13.0,49.0,3236.0,0.1,41.006999999999984,0.0,0.0,582.528041601181,,,,,,,,,,,,,,,,,,,,,18.165230616529374,13.226368518091096,40.19725801856917,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,961.0,14.0,56.0,3292.0,0.1,49.005999999999986,0.0,0.0,588.1720209121704,,,,,,,,,,,,,,,,,,,,,22.38812994865007,15.368527464261463,47.84791270036363,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1147.0,15.0,186.0,3478.0,0.1,178.00700000000003,0.0,0.0,605.8179144859314,,,,,,,,,,,,,,,,,,,,,81.69441650877958,49.12112433066648,163.13795129400384,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1239.0,16.0,92.0,3570.0,0.1,83.00800000000004,0.0,0.0,615.04225897789,,,,,,,,,,,,,,,,,,,,,37.74891626140294,25.07161407240524,79.69440882719653,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1452.0,17.0,213.0,3783.0,0.1,189.023,0.0,0.0,635.0249083042145,,,,,,,,,,,,,,,,,,,,,90.32819422704816,51.37421549474871,170.12317084816442,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1492.0,18.0,40.0,3823.0,0.1,30.00900000000001,0.0,0.0,639.3984713554382,,,,,,,,,,,,,,,,,,,,,12.259853107309647,10.148879441790953,29.577731761498857,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1617.0,19.0,125.0,3948.0,0.1,118.00600000000003,0.0,0.0,651.4354157447815,,,,,,,,,,,,,,,,,,,,,54.935037345776514,33.903921160076585,111.36173243491538,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1745.0,20.0,128.0,4076.0,0.1,115.01200000000006,0.0,0.0,663.6167633533478,,,,,,,,,,,,,,,,,,,,,51.04299492530034,34.266741103680346,108.6957795128077,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,86.0,1.0,86.0,4162.0,0.1,75.01000000000005,0.0,0.0,846.9427454471588,,,,,,,,,,,,,,,,,,,,,33.18566003008486,23.202065470672107,72.3005620609726,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,119.0,2.0,33.0,4195.0,0.1,26.006000000000007,0.0,0.0,850.4346199035645,,,,,,,,,,,,,,,,,,,,,11.331051358107485,8.722639363290158,25.683416454675356,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,153.0,3.0,34.0,4229.0,0.1,25.00800000000001,0.0,0.0,854.3582015037537,,,,,,,,,,,,,,,,,,,,,10.215673062721867,8.561502710659374,24.710062530866665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,204.0,4.0,51.0,4280.0,0.1,42.00799999999998,0.0,0.0,859.5831294059753,,,,,,,,,,,,,,,,,,,,,18.2796460683757,13.628776407648084,41.15801291833659,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,324.0,5.0,120.0,4400.0,0.1,111.00800000000004,0.0,0.0,871.1754961013794,,,,,,,,,,,,,,,,,,,,,50.833708495413774,32.50476701078879,105.11808603453342,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,460.0,6.0,136.0,4536.0,0.1,125.01000000000005,0.0,0.0,884.1625969409943,,,,,,,,,,,,,,,,,,,,,56.92502891311426,35.81102412483173,117.5030847342002,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,551.0,7.0,91.0,4627.0,0.1,84.00600000000003,0.0,0.0,893.4421606063843,,,,,,,,,,,,,,,,,,,,,39.05777593429912,24.970167809780964,80.61288755219564,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,621.0,8.0,70.0,4697.0,0.1,60.00899999999998,0.0,0.0,900.327981710434,,,,,,,,,,,,,,,,,,,,,26.475807247229866,18.88864081556066,58.27217957967367,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,956.0,9.0,335.0,5032.0,0.1,307.0269999999998,0.0,0.0,931.6765847206116,,,,,,,,,,,,,,,,,,,,,132.15385261253348,77.62673026437595,263.2817596122665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,1300.0,10.0,344.0,5376.0,0.1,322.0209999999995,0.0,0.0,963.5860726833344,,,,,,,,,,,,,,,,,,,,,137.0289891886387,84.67515805491432,275.43361952453813,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
